Amateurish! 	业余水平！ 
Oh, but just so you know, 	不过，还是要告诉你， 
Pick it up, quick... 	快捡起来.. 
I had pneumonia and pleurisy - I didn't even know I was dying - 	我有肺炎和胸膜炎- 我甚至不知道我要死了- 
We will open this bottle of champagne. 	我们一定会开启这瓶香槟。 
Poor baby. What's gonna happen to him?	可怜的孩子。他会怎么样？
Mr rossy, who is a professional airline pilot, will be accompanied by a fleet of helicopters and aircraft to film the event, which will be broadcast live on the internet.	rossy先生是一名专业的飞机驾驶员，他此次行动将有直升机和飞机航队伴随拍摄，并在互联网上实况直播。
But local government employment dropped yet again, by 12000.	而地方政府提供的工作岗位再次减少，仅有12000个。
I'm gonna go check the evidence room log.	我去检查证据室的记录。
Take cover! Down! Wash, get in there. 	找掩护！趴下，进去。 
Wait here... What are you talking about?	别走... 你到底在说什么？
Should expect a very strongly worded letter from the magicians local 77. 	你将会收到本地魔术师协会的措辞非常严厉的信。 
Maybe that first phone call.	他认为自己就是一名大天使。
My mother says when you gonna live your life right? 	我妈妈问，你何时才能让生活步入正轨？ 
Didn't seem to matter to her that something like that could kill a person	对她来说即使那样的动作能杀死一个人也是无关紧要的
I understand. Stay on it, please. 	我知道了。你留在这里。 
He just wanted some stuff to sell to get drugs. 	他不过想顺点儿东西去换毒品。 
Parenting can only go so far. 	做父母的也只能做那么多了。 
No, not everybody.	不,不是每个人。
U. s. troops, planes, and missiles can overthrow a government on the other side of the world in weeks, but pacifying and stabilizing a conquered country is another matter.	数周内，美国陆军、飞机和导弹便可以推翻世界上一个敌对政权，但实现征服国的和平稳定则是另外一码事。
Yes, warden. I've just finished my report on Jarrett. 	是的，监狱长我刚刚写完关于加里特的报告。 
Yes. Someone stole my shoes.	对。有人偷了我的鞋子。
What are we proving? 	我们能证明什么？ 
What's kyle doing? 	凯乐在做什么？ 
I have had an interest in this boy. 	我向来喜欢这孩子。 
Do you want our family to be dragged through the mud by every newspaper 	你想让这个家深陷泥潭吗 
She has a microchip under the skin.	她的皮肤下面有个芯片
Do you want to go gambling tonight? 	今晚想赌钱吗？ 
Mom screeched, yanking me back through my window.	妈妈尖叫着，从我的窗户我猛拉回来。
Why didn't they tell me you were here?	他们怎没告诉我你在这里呢？
That I can see. But where? To Martha's place. 	我知道。什么地方？去马莎那儿。 
In many cases, it's just a whisper that reveals...	在很多案子里，只要一句悄悄话就可揭示...
Concentrate on him. 	专注于他。 
Ms daly said dreamworks was also in final talks with mike myers and diaz who voice shrek and princess fiona.	戴利夫人说，梦工厂也正在和为史莱克和菲奥纳公主配音的麦克梅尔斯和迪亚兹进行最后的洽谈。
I was wearing a hospital gown and I was sitting at the foot of my bed.	我梦到我在一家医院，穿着病号服坐在床边。
Aston villa boss gerard houllier says stiliyan petrov's place in the team is not guaranteed.	阿斯顿维拉主帅杰拉德霍利尔称，斯蒂利延彼得罗夫在队中位置不能得到保证。
And that's a very big if,	可是作出很大的牺牲，
I knew you'd still be there. 	我就知道你还在。 
Some scientists working on social robots, like movellan and his team, borrow readily from developmental psychology.	movellan小组等致力于社交机器人研究的科学家，直接从发展心理学中有所借鉴。
In america the biggest medium-term budget busters are pensions and health care for the old.	在美国中期预算最大的毒瘤是老年人的养老金和医疗费。
I gave my heart and my soul to this damn company, 	我把全部心血都给了这死公司， 
And we must all be ready. All of us.	我们都得时刻准备好。所有人都要。
I've come for the job you've advertised.	我来应征你登在广告上的工作。
The maze of former prison buildings is still ringed by coils of barbed wire.	那座已经废弃的监狱至今还被铁丝网包围着。
His hand manipulated a Muppet for 40 years...	他的金手指操纵木偶有40年了。
Oh, it was just some pimp. 	哦，只是几个皮条客。 
So... You know the dragonfly?	呃……你认识蜻蜓？
But I'm starting to think he's an evil genius. 	但我开始觉得他其实是个邪恶天才。 
You know, we're kind of screwed if the hospital doesn't have 	如果医院没有留下记录我们就完蛋了 
How often is she put in a straitjacket? Can she get cigarettes?	她经常穿约束衣吗？她能有烟抽吗？
Mini bar cabinet with laminate top 	有层压顶板的迷你酒吧柜 
She felt a gush of pure affection for her mother.	对母亲的爱突然涌上她的心头。
Why would you tell me that I don't need to worry? 	你凭什么让我别担心？ 
Hutchence was found hanging from a belt tied to a doorknob in a sydney hotel room in 1997, at the age of 37.	1997年，在悉尼一家旅馆房间里，赫琴斯被发现吊死在一根拴在门把手上的皮带上，时年37岁。
So, my wife has been in a bar fight? 	我老婆在酒吧打过架？ 
Aah! We were better off on exploding planet!	啊！我们呆在行星上都比这好！
Oh, she is coming back here though, isn't she?	她要回来的，对吧？
Pull your muffler around your neck, Charles.	把围脖围好，查尔斯。
Well, that's not how she put it, but, yeah, it could have that effect.	呃，她可不是这么说的，不过，是啊，会有这样的效果。
Why don't you stay here for a while? 	为什么不在这儿多呆一段时间？ 
I want to see my mother. 	我要回去找妈妈。 
Custom-designed courses can be structured to accommodate the needs of individuals or for groups from the corporate or government sectors.	另外可以按个人、公司或政府部门的需要定制设计课程。
I was comfortable with that foursome, 	喜欢我们四个在一起， 
And sprint ceo dan hesse has been vocal about how he hopes sprint's green initiatives will distinguish the company from its fierce telecom industry competitors.	斯普林特CEO丹•海塞曾说，他希望斯普林特的环保计划能使该公司有别于电信行业里激烈的竞争对手。
One. Stunning, really.	一块。牛掰，真的。
Your hair will be as straight	你的头发会变得笔直的
With the exception of the instinct of self-preservation, the propensity for emulation is probably the strongest and most alert and persistent of the economic~ proper.	除了自我保护本能以外，模仿的习性很可能是真正的功利性动机中最强烈、最活跃顽固的一种。
And perhaps michael will one day like dameon sharkey, the boy whose gift became a vital link in a chain of love.	也许有一天迈克尔会像达明恩沙开那样，将捐赠变成爱心之链中的重要一环。
Moving cool, moving cool 	动作酷，动作酷 
But sheila, dark sheila, is out upon the moorland.	可是希拉，黑黑的希拉，正远在那高沼地之上。
Causing such a mess?	怎么会变成这样子？
To pull my shit together when I got back -  	我花了多长时间才好些 - 
I'll tell you this. He was not marksman enough -  	我来告诉你。他的枪法没那么好- 
He had been an idiot, his heart was too big.	他当时傻得很，心太仁慈了。
And any good prospects you find, bring them to me. 	如果找到任何合适的人选，把他们带给我。 
I know it. I just know it, Charlie. 	我知道。我知道的，查莉。 
She wants the creature from outer space 	她想要外太空的创造性 
And my chance to protect the kid from further abuse.	以及保护让那个孩子不再遭受虐待的机会。
I'm raising some money, too, for my charity, 	我也在为我的慈善机构筹钱， 
Who put him there? I did. 	是谁让他进医院的？我干的。 
With fuel fetching twice what it did just three years ago, gulf economies are chalking up record growth.	随着燃料价格涨到三年前的两倍，海湾经济增长正在创造历史纪录。
Uh, we can charter a jet out of mccarren. 	从麦凯伦搭飞机。 
What for? The sorcerer. 	为什么？找出法师。 
Political uncertainty is a retardant to economic recovery, but I would be inclined to place greater emphasis on weakness in demand in consequence of the sharp drop, triggered by the financial crash of september 2008, in household wealth and employment prospects.	政治不确定性是经济复苏的一大阻碍，但我可能会倾向于强调，由于2008年9月金融崩溃激发的家庭财富和就业前景的急剧下降，而导致需求的疲软。
Back in the 1980s drug users were a public nuisance in Zurich.	在20世纪80年代，吸毒者在苏黎世是被众人所唾弃的。
It came to a bad end. She finally married another.	结局很不幸。她嫁给了另一个男人。
You Chuck. 	你就是个“独食”。 
But nuts isn't all bad,	但疯倒也不全是坏事，
You look nice, sweetie.	你很帅，亲爱的。
That allf you are hereonight, 	你们今晚能来， 
I'm switching to strawberry milk. 	换成草莓牛奶了。 
Your grandmother wasa lifetime of surprises. 	你奶奶就是这样的人。 
He was a... Complicated man. 	他是个... 很复杂的人。 
Studying ielts, let me opened qq zone here and began to wrote chinese-english diaries, maybe that was the biggest benefit to study in the training center.	读雅思，让我开了这个qq空间，开始写日记锻炼英语写作，或许也算是此次培训最大的收获了。
that knife you're holding was used to inflict	你拿着的那把刀造成了
come on. I have apologized for that so many times. 	又来了。我都道歉过好几次了。 
Please God, let him telephone me.	上帝啊，求你让他打电话给我吧。
I haven't been so impressed with your ability so far. 	但你的能力目前让我不甚满意。 
It'll take you less than five minutes to expose her if she's a fake. 	如果她是假冒的你不到五分钟就会拆穿。 
Wrap my fingers around the disease,	把手伸进去，
Eh, this junk was hardly worth getting up for. 	呃，这垃圾甚至不值得注意。 
Herriot started treating the dogs.	赫瑞尔开始给狗看病。
I know - She's bossy. 	我知道 - 她很专横。 
Why rush it?	怎么这么着急？
Yeah, in a minute. I wanna see where she's going.	好吧，等一会儿。我想看看她去哪儿了。
Just so you know, I was going to leave. 	你得知道我本打算走人的。 
When yasser arafat returned to gaza in 1994 to set up the palestinian authority, he brought a sense of order, security and hope.	当1994年亚西尔阿拉法特回到加沙成立巴勒斯坦民族权力机构时，他带来了一种秩序、安全和希望的感觉。
So, one photographer that lived in kamchatka region for years decided to settle a list of bears that he has seen through the time he was there.	因此，一位长期居住在勘察加的摄影师决定给我们欣赏他住在那时拍到的一些熊的照片。
He passed out on tranquilizers.	他在镇静剂上昏厥。
You need this. What is wrong with you? 	你需要这枝。你怎么回事？ 
You don't get to choose where I take you down. 	我在哪抓你可不由你定。 
You remember the letters. 	你记得那些信吧。 
For now, this does not matter because total volumes are growing so rapidly.	就目前而言，这无关大碍，因为总成交量正迅速增长。
It's kind of all he had.	差不多他全部家当了。
Only the herd's dead will remain -  	只有倒下的尸体可以供掠食者维持生计 - 
But... Hey, listen. Let's hunt. OK? 	但……嘿，听着，我们去捕猎吧？ 
Special days for the maori are called huis.	毛利人的特殊节日叫做“会”。
Klara will finally be mine. 	卡拉拉终于会是我的。 
You made it. I made it. 	你赶来了。我赶来了。 
I don't care about the money in Utah. 	我不在乎犹他州的钱。 
At home, I said a brief hi to charlie, grabbed a granola bar from the kitchen, and hurried up to my room with the envelope of photographs tucked under my arm.	到家后，我和查理打了一声热乎，从厨房里拿了块格兰诺拉燕麦饼干，便夹着一信封的照片上楼到房间里去了。
But I'm gonna make a bedroom for myself where the nursery was.	但是我打算睡在原来的婴儿房里。
I didn't do this! Get him out of here!	不是我干的！把他带走！
A huge bronze statue commemorating the poet stands in the main square.	为纪念这位诗人而铸的巨大铜像矗立在主广场上。
Nothing you're going to see here today is final.	你们今天看到的决不是结局。
And I wanted to have those three initials behind my name. "	“所以，我想在我的名字后面也能加上MBA这3个字母。”
How do you know this will work?	你怎么知道这个管用呢？
He is not gonna be a witness in a trial, for God's sake. 	他不能在法庭上出庭作证，老天爷。 
Lighter, comfortable, better for your back, good to fuck on.	更轻，舒适，好对于好发生性关系在上的你的背来说。
Hey, it's too cold for you to be 	嘿，外面太冷了 
Might help if you talked about it. 	如果你说出来也许我能帮你。 
And you were like our shadow - 	你就是我们的影子 
The friendly staff at this hotel in Chino are committed to providing the best in customer service and accommodations at an affordable price. 	这家位于奇诺的酒店价格合理，友好的工作人员致力于为客户提供最佳的客户服务和住宿。 
I'm not trying to break him out.	我不是想捣乱。
Then we'd have the money. We could go away.	我们有钱就能远走高飞。
I'm gonna find a hotel. 	我去住酒店。 
All right. Keep it steady. I got it! 	稳住车子。可以了！ 
And kick you out of this house. 	把你们从这儿也踹出去。 
So you packing 'up her room for her? 	你在为她整理房间？ 
Not according to the newspaper. 	报纸不是这么说的。 
Why is the stenographer waiting in the hall?	为什么速记员在大厅里候着？
The wamu infusion has raised hopes that private-equity groups will serve the same role in shoring up regional banks as sovereign-wealth funds have done for the biggest ( though perhaps with better timing).	华互银行的注资使人看到了希望，正如主权财富基金支持银行巨头一样（尽管也许时机更加适宜），私募股权基金也会助地方银行一臂之力。
Of these 22 had various head-and-neck cancers, 24 had lung cancer and 36 were healthy.	其中有22名患有鼻咽癌，24名患有肺癌，36名是健康人。
Hey, what are you saying? Well? Tell me	你在说什么？告诉我
Known as coconut cityhaikou is the capital city of hainan and it contains interesting historic sites like the five officials templexiuying fort barbette and hairui tomb.	作为椰城的海口是海南的省会，它包含了许多像五公祠，秀英炮台，海瑞墓等这样的有趣的历史古迹。
we had to I. D. More than the photo before we could ship him.	在把他运送回家之前我们必须得确认让人当面他的身份。
To have the little prince visit her.	以后要照顾小王子。
He spends most his time	他这几天花了很多时间
That's a problem, without their identities we're getting nowhere.	可问题是，如果得不到他们的身份信息我们就没戏了。
So I don't have to protect you. 	所以我就不必再保护你了。 
Go be wait out, OK? 	出去一下。就一会儿。好吗？ 
That may even push you apart	可是当我们分开了呢
In the trenches once we ate dog meat.	我们曾经在战壕里吃过狗肉。
This approach would shield children from predators.	这些方法可以让孩子们免于遭到网络欺诈。
Meanwhile, chinese manufacturers are paying increasingly higher prices for raw materials as the country's own demand drives global market prices.	与此同时，随着中国自身的需求推高了全球的原材料市场价格，中国制造商正在为原材料支付越来越高的成本。
People who loved him in real life, 	在生活中热爱他的人， 
It was under the mess. They didn't know to look for it. 	它在那堆东西下面。他们没找到。 
To check the "wiper arm attack angle" the adjusting tools must be removed.	若要检查“刮臂迎角”，必须拆下调节工具。
It felt like losing a loved one even though it was just pretend.	尽管只是在演戏但这真的像是失去了一名挚爱。
I mucked in with john till I found a flat of my own.	在我找到公寓前，我和约翰同住一屋。
Be rte sent these to me today and I don't know what to do.	伯特今天拿给我的而我不知道该怎么办。
Grab your lady and bounce. 	带着你的女人出去。 
Stop it, Mr. Jeon. 	别说了，全先生。 
Kramer, hurry up.	克莱默，快点。
The new aspects of advertising have created lots of opportunities for entrepreneurs, computer geeks, and advertising agencies eager to evolve. "	广告业的这些新变化为创业者、计算机怪才和渴望进化的广告公司创造了大量机会。
The dude from the Washington standard said you'd think so. 	华盛顿旗帜报的那家伙说是你的想法。 
We'd have to travel 10,000 light - years to find it.	我们就不得不走上1万光年去寻找它。
What, you got another job interview? 	什么, 你今天又有工作面试？ 
Your numbers are strong, where you can just push past him.	你的支持率高，可以取得胜利。
Sports, performing arts, culture and publication subsector.	体育、演艺、文化及出版界界别分组。
Until the invasion of american academic ideas, most brazilians thought that their country's racial rainbow was among its main assets.	在美国学术思想传入之前，绝大多数的巴西人认为种族多样性是国家财产的一部分。
What's going on? She's such a little slut.	怎么回事？她真是个小贱人。
In case that means having her dead, I gotta get this guy into the light, 	万一他想要厉鬼索命我就必须让他早登彼岸， 
Oh, they don't speak Russian, do they? 	他们不会俄语，是吧？ 
Just stay away from sharp corners.	别靠近尖锐物体。
You just told us how to play it! 	你刚刚告诉我们怎么玩法！ 
I made it onto the team for the new defense department 	我入选了国防部新组建的 
So, how did you meet? I'm sure it was October '86. 	你们两个第一次见面是怎样的？我想应该是十月十六号。 
We watched it burn into an unrecognizable hulk.	我们看着它成为一个无法识别的废船燃烧。
We can kill one right now and improve our odds. 	我们可以先杀了这个提高逃出去的几率。 
Spoil the small culvert of us charming campus girl student portrait.	娇美迷人的校园女生写真小涵。
The time he spent out here meditating was enough to affect his dreams. 	他在这里花的时间足够影响他做梦。 
Water benefits all things, and does not compete with them.	水善利万物而不争。
At colleges of cuisine education, cooking techniques arts as a course gives priority to theory and minor attention to practice, and the teaching content and teaching method are out-of-date, which restrict the cultivation of innovative talents in this field.	我国烹饪院校的烹饪工艺美术课程教学存在重理论轻实践、教学内容和教学方式陈旧的现象，这影响了烹饪技术创新型人才的培养。
We're gonna win the money. - of course you are. 	我们会赢到那笔钱的。- 那笔钱肯定是你们的。 
I swore I wouldn't call her, but I must.	我发誓我不会给她打电话，但我必须。
The iconic, all - American mother created by advertisers and politicians 	就像广告商和政客嘴里的妈妈是代表全国所有的妈妈 
If a country's gold price is believed to be immovable, markets will know better than to speculate against it, because the speculator will always lose.	如果一个国家的黄金价格被相信是固定的，市场力量将比操纵市场更强，因为投机者将总是会输的。
Since thou knows thy country's strength and weakness, 	因为只有你对你的国家了如指掌， 
When they dammed up the river...	当大坝阻断了河流...
Dragged Clinton over, placing him near the pillar - 	把克林顿拉过来，把他放在靠近柱子的地方 - 
Wait. What weapon could be that strong?	等等。什么武器可以如此强大？
So what would you like this time - 	你愿意这个时候- 
No, I don't think they did anything wrong. Who would you throw out? 	我觉得他们都做的很好是你的话，你会淘汰谁？ 
You are paid extraordinarily well.	你拿的钱已经够多的了。
I'm going to buy a mansion just like this 	我要买一栋像这样的豪宅 
He's extremely manipulative, so don't let him persuade you.	别听他的，他这个人很会摆布人。
I know nifty tidbits from yelp and wolfram alpha.	我知道“大众点评”上的花边新闻，我背后还有一个叫Wolfram Alpha的牛叉算法。
Why not? Don't you see? 	为什么不能？你不明白吗？ 
Okay, okay, don't shoot, don't shoot. I'm so sorry.	好的，好的，别开枪。
If only I had my rifle. 	如果我有来福枪。 
Our signal's good. 	我们的信号很好。 
Okay, bacon. Do you like it crispy?	好的,培根脆的吗?
So do your parents still live in charlestown?	你父母还住在查尔斯镇吗？
We could dance under the moonlight 	我们可以在月光下跳舞 
The plane beat an Italian at the Schneider cup, twice. 	意大利队都是败在你这家伙，两次。 
OK, this bridge collapsed 4 years ago, 	嗯，这座桥4年前坍塌， 
He has an unerring talent for writing catchy melodies.	他有一以贯之创作朗朗上口曲调的才能。
And I'm not going to, even on opening night. 	我没喝，甚至是在初演的那个晚上。 
I'll launch the rescue chopper. 	我要派救援机。 
And I think he's cute too. 	我也觉得他很可爱。 
I understand that you reported a gun missing. 	我听说你你曾报案说你的枪丢了。 
I'm going to adjourn this. We'll come back on Wednesday.	暂时休庭。周三再审。
I mean you're all the same	我说你们全都是一样的
They're in no position to demand anything.	他们没有资格要求任何事。
Another?Car. 	又一辆？高底盘车。 
Wait, wait, wait! Officer! Officer! Officer, two other guys	等等，警官还有两个
What? Pigment mutation. 	什么？色素突变。 
Give it a shot. Lay it on me.	在我身上试试。
They cracked the nuts and removed their shells.	他们砸开坚果，剥去硬壳。
We'll let the readers decide if you're a crackpot all on their own. 	我们会让读者来判断你是不是个怪人。 
I mean, for a guy who has never played poker before,	对一个没玩过扑克的人来说，
He just sees things in a totally different way.	他看问题的视角完全不同
To be considered promiscuous... Textbook promiscuous?	会被认为是性滥交… 按教科书上的定义？
Here we expand our consciousness, synthesize meaning from facts and experience, adjust personal attitudes to collective ideas, and understand how things are integrated into systems.	在这里我们扩展觉知，把事实与经验的意义综合起来，调整对集体观念的个人态度，还有理解事物是如何统合成系统的。
Muybridge is best known for his method of using multiple cameras to record motion and he also invented a device called a zoopraxiscope which was a forerunner of the modern motion picture projector.	布里奇最出名的是他用多台摄像机记录运动的方法，他还发明了一种装置，称为动物实验镜，这是一个现代电影放映机的前身。
Besides, we're supposed to talk about my plans, you know 	另外，我们要谈我的计划，你知道 
What is it, the French revolution?	关于什么来着，法国革命？
You guys are gonna do this a lot, so just pay attention. 	你们要经常做，所以注意力集中。 
And I need to be fully able, both physically and mentally, 	我需要从生理，和心理上， 
You're living here provisionally.	你只是暂时住这儿。
And soon they will be... Hunting us down. 	所以说，他们很快就会...把我们抓回去的。 
It shows that the low-density polythenen has better improved effects.	低密度聚乙烯具有较好的改性效果。
Hollywood fashions in the way of clothing are servilely imitated by the japanese.	日本人盲目地模仿着好莱坞的服装流行式样。
But I don't want to see him hung out to dry either. 	我也不希望看见他在外面被晒干。 
Hey, everybody. I've got some awesome news. 	兄弟们。我带来一些另震撼人心的消息。 
The trial took eight days in the sweltering tennessee summer.	这次审判在田纳西酷热的夏季进行八天。
She used to live up there.	她以前一直住在楼上。
don't burn your tongue. - all right, honey. 	别烫到舌头。- 好的，亲爱的。 
You were hiding flared nostrils.	你在遮掩张开的鼻孔。
As solid as it is beautiful.	既坚固有美丽。
I'm sensing a little confusion about our situation here,	关于我们的现状我感到有些困惑，
It was used to control the victims. 	嫌犯在囚禁被害人期间。 
A mundane task that - that's suddenly a joy	一件平凡的事情突如其来的快乐
Your sources in the homicide Bureau . 	你在重案组的朋友。 
I'm sure mom would be intrigued. 	我觉得妈妈会比较喜欢。 
L love only you why don't you trust me? 	我只爱你一个为什么你就不相信我呢？ 
Shall we go to my office and prepare the invoice? 	我们到我的办公室准备发货单好吗？ 
Well, I've enjoyed working with you as well. 	嗯，我和你一起工作也很愉快。 
Work in intelligence long enough, 	从事谍报工作久了， 
Did he have any enemies?	他有什么仇人吗？
I don't normally do that. I - I was really drunk.	我平常不是这个样子的。当时醉得太厉害了。
BEST WESTERN Parkway Hotel 	贝斯特韦斯特帕克威酒店 
She believes she's discovered the earliest organized number system.	她认为她找到了最早的可识别的数字系统。
By expanding our design capabilities in asia, we provide a highly integrated solution for major industry segments.	随着我们在亚太地区研发能力的日益加强，研发中心已能为许多工业部门提供高效的整体解决方案。
About going out with your friends, telephone time, homework.	总是为些你出去和朋友玩，啊电话啊，作业啊这些事情争执。
In the year 1865, the Edo era. 	在1865年，江户时代。 
I guess I thought that the dream space should be all about the visual but it's more about the feel of it.	我本以为梦境空间仅仅是可视的，但其实更注重感觉。
Falling behind now isn't the way to start out a school year, 	新学期一开学就拉了这么多课可不好， 
I've done all that I can.	我做了我能做的了。
Did you have to bring her? 	你必须带她来吗？ 
If you succeeded, they'd never know. And if it fails, I would have injured others. 	如果你成功，他们绝不会知道。并且如果失败，我就会伤害其它人。 
There is a pressing need to modernise our electoral system.	我们的选举制度迫切需要现代化。
So it's TB, 	所以是肺结核， 
Is there any possible way I could avoid a kicking?	有什么办法你们可以不用踢我吗？
When you're skiing in America, 	在美国滑雪， 
Well, l couldn't just answer that, sir.	呃，我不知该怎么回答，长官。
I get $70,000 an episode. 	我每集赚7万。 
All chinese companies are supposed to register with the moc and obtain government approval to invest overseas.	所有来自中国人的公司都应需在商务部登记，之后获得政府准许来进行海外投资。
Play something we can grope to.	弹些我们能跳舞的曲子。
The stories yet to come, they're the best.	在即将开始的故事中，他们是最棒的。
I have dispatched 1 00 soldiers to Lanark. 	我派了100名士兵去了勒纳克。 
Yeah. On the top right here. 	是的。写在这上面。 
Or am I being obtuse? 	我是呆瓜吗？ 
Yes, and I feel awful.	对，真过意不去。
My master congratulates you on your recent triumph.	我的主人对你最近的胜利表示祝贺。
In her case... Yes? 	她的状况... 是？ 
Dormant in a sealed - off portion 	中部颞叶封闭部分的 
Like most guys want? I'm not most guys. 	像大多数男人所希望的？我不是大多数男人。 
I know that things have been kind of up and down for me lately -  	我知道我最近不大稳定 - 
It is your lucky night, sir. You are free to go. 	今晚你真走运，先生。你可以滚了。 
Salute to the commander!	向指挥官敬礼！
Mr clifford said today's most powerful mobile phones, such as nokia's n96 and nttdocomo's 905 series have the same power as a laptop from 2000.	clifford认为，当今许多强大的移动手机，如nokia的n96，nttdocomo的905系列使用的电源与2000年的笔记本电脑电源相同。
Congress must raise the$ 14.3 trillion borrowing limit by august 2 so the government can meet its financial obligations.	国会必须在八月二号之前提交14.3万亿的贷款限制,这样政府才能不致于陷入债务危机.
What he doesn't know is, you can't con a con.	但他却不知道，永远不要骗另一个骗子。
Leave me alone. I didn't mean for this all to happen. 	别惹我。我不是说着发生的一切。 
Let's see if it adds up.	我们找找是不是有共同点。
My wife give it to me in Atlantic city. 	我太太在大西洋城给我的。 
He has also traced the family lineage	他还追踪了岛上每个家族的谱系
Yeah. I got mine too.	对啊。我也有。
Am I allowed to say congratulations? You won. 	我可以说恭喜你吗？你赢了。 
You don't have to feel guilty. 	且不会感到愧疚。 
Can't just sell the necklace. Make him prove it's his.	你不能只卖项链要让他承认。
You know what I learnt when I went big man jail, blood? Fuck all.	你知道我在监狱里学到什么？一堆垃圾。
Of course it's a lie. Of course it's a lie.	当然是在说谎。当然是在说谎。
Mom, just tone it down a notch. 	妈小点声。 
Ice cream? Really? 	冰欺凌？你来真的？ 
She's tired from her journey. - at once, your grace.	她一路旅途劳顿。-遵命，陛下。
To deny responsibility in this matter.	否认这件事跟他们有关。
They call mother green and her killing machine.	会找海军陆战队还有这些杀人机器。
Yeah, listen, we screwed up big time.	对，听着，我们把大事搞砸了。
Jeez, enough already. Don't you have a business to run? 	够了。你不是还要做生意吗？ 
Dashan: we didn't have a formal class together.	大山：我们并没有上过什么正式的课。
Okay, so you put up the 10, we split anything I win fifty - fifty. 	好，你资助我比赛，赢了五五对分。 
We're about to up our 15 MRAS to 45. 	我们准备把搜索半径从15英里提高到45英里。 
Design specification for gate hoists in hydropower and water resources projects.	水电水利工程启闭机设计规范。
It's gonna be like a nine inch nails concert that goes on forever.	像一场永不结束的九寸钉乐队演唱会。
don't worry. I'll be there the whole time if you need me. 	别担心。我随时准备为你效劳。 
Is really just another shade of green?	事实上是绿色的另一种？
Ah, if you remember anything else, don't hesitate to call.	啊，假如你记得别的事请不吝来电。
You think that's funny, huh? I'm gonna break your nose now. 	你觉得好笑，恩？我现在就打断你的鼻子。 
The dance portions of your floor 	你们自由体操里的舞蹈动作 
Why am I causing trouble for them? 	为什么我给他们带了麻烦？ 
One pass Veteran Memorial per adult 	每位成人一张合格老兵纪念馆入场券 
Stop. She's right behind you. 	别说了。她就在你后面。 
And every time there's a new patient with one of the cancers	每次有新的癌症病人
I do have a problem. 	我确实不满。 
Her face is quite pleasing -	她的容貌很赏心悦目-
Who wants to get some learning today? This way. Move. 	今天谁想去学点东西呢？这边快走。 
Okay. Well, uh, you've been very helpful.	好吧。您对我们帮助太大了。
I can bring that to you. Now how's that? 	我可以给你这个。怎么样？ 
You took the package.	你拿走了那包裹。
Because this is about to get gnarly.	因为接下来很曲折。
I'm sorry. don't be sorry.	对不起。别对不起。
Yeah. - I so don't want this cupcake. Look. 	是的。- 我一点都不想吃看着。 
Is that where she is right now?	她现在在那里吗？
But I always try and mask my pain in front of beautiful women 	但在美女面前我不能露怂 
This one guy I know - total Dick - I used it on him.	我认识一个家伙整个一混球我就用这个对付他。
It's a dollhouse. 	是个娃娃屋。 
He seems to be suffering from... 	他得了... 
It's a pleasure to meet you, sir. You, too. 	很高兴认识你，先生。我也是。 
I'm meeting with a former associate of mine. He might be of some help. 	我和以前的合作伙伴见了面。他也许可以帮忙。 
George, is Paula Reisner a red? 	乔治宝拉•瑞斯勒是共产党吗？ 
Maybe she felt like too much damage had been done	可能她意识到做错了太多的事
Willing to submit without resistance to authority; deferent.	愿意屈服的，不对权威反抗的；服从的。
I'll say it today before it's too late.	在没晚之前我想把话都说了。
Then he shall answer, those with which I was wounded in the house of my friends.	他必回答说，这是我在亲友家中所受的伤。
I need her location.	告诉我她在哪儿。
Angels and ministers of grace defend us 	仁慈的天使保佑我们 
Behind him on his saddle is his guitar, which he plays at night beside a lonely camp fire, he can rope a cow from ten meters, ride a wild steer and jump from the top of a building onto a waiting horse.	他身后的马鞍上绑着那常常在孤独的野外篝火旁弹起的吉他。他能用绳套住十米外的一头牛，善于驾御狂暴的野公牛，能从楼顶纵身跳到一匹正在等他的马的身上。
The more interesting question--and one of perhaps shakespearean proportions--is what kind of guy writes a self-published book calledpleased but not satisfied that names integrity as one of his six business commandments, but then displays what is inarguably bad judgment and ends up embroiled in a scandal?	更有意思的问题，或更具戏剧色彩的是，这个曾自费出版书籍《高兴但不满意》(Pleased But Not Satisfied)，将诚信列为自己职业六诫之一的人，行为上却显然缺乏正确的判断力，并最终卷入丑闻。
He arguedhis case most persuasively.	他的庭辩十分有说服力。
Captain Harris?	哈里斯上尉？
You go out of town, now, quick! 	离开镇子，现在，马上就离开！ 
Look, you gotta help me. The trick to making any great film...	看。你一定要帮帮我。制作一部好电影的诀窍是…
Uh, ma 'am. Ma' am. Can you think of any reason 	夫人，夫人，你能想到什么人 
I will not taint thy purple with my dust.	我满身的尘土玷污了你的紫袍。
Not somebody that he needed to feel dominance over.	不是他寻求支配欲的某个对象。
He's absolutely right, Linda.	他说的一点不错，琳达。
Or what name she's using.	或者她曾用过什么名字。
Because its eyes wrap all the way around. 	因为它的眼睛一直绕道后面。 
Even to his wife, who demanded two - thirds of his submarine patents...	哪怕对他老婆都很好，她索要他2/3的潜艇专利...
Yeah. Well, I figure I owe you an explanation - ah, not to me. 	是的，对的，我想我欠你一个解释- 噢，不是我。 
I'll take you. Flat rate. Off the meter.	我带你去。统一费用。不打表。
Why not just go tomorrow?	明天再走吧？
