上联 下联
瑞雪纷飞天种玉 和风骀荡地收花
棉裤叉 皮背心
半岭烟云，西风渐老琴箫冷 几声猿鹤，宿酒未消寝睡迟
红木千姿，老舍频添典雅 匠心独运，新居更显时髦
李白头飞雪 杜康酒满樽
千里关山千里雾 一天满月一天情
铭恩宠于吉金，三召伯鼎、两齐侯镈 祝长龄以康爵，同郭令寿、比潞公年
技能推广求先进 文化普及增见识
胡说，今人何曾见古月 疯狂，过客几许不伤风
青衣书蠹悄然下 烂笔脱毛竹一支
佛寺倚名山，看慧日重辉，花雨千秋滋化境 法门开正道，仁慈航普渡，宗风万里送真禅
纵马观天下 赋诗润世间
蓬莱仙境 白鹭灵光
磊轩谒剑臣，凭一只秃笔，一池寒墨，折煞几许豪杰 聊斋真居士，把千载鬼妖，千网俗尘，揉作铿然巨章
药材好，药才好 牛奶佳，牛乃佳
骏马却驮痴汉走 美妻常伴拙夫眠
浪迹萍踪沧海客 忘情山水宦游人
虽是韶华心已老 自然益寿福绵长
看来唯我无城府 不碍余生有作为
人情练达，高低莫论 世相洞明，苦乐何来
法正风清歌盛世 人和政善乐明时
陈平佐高祖，出六奇策 王导方敬仲，是一流人
疏狂一世凭诗酒 笑傲江湖伴剑琴
宝灿新春联映日 鸡鸣盛世福盈门
三秋霜树如烟火 二月春风似剪刀
如棋世事先着意 多彩人生早用情
坐赛场看台，挺赛场中国队 品巴西烤肉，观巴西世界杯
上派河、中派河、下派河，三派三河会 红花岗、黄花岗、紫花岗，百花百岗妍
福敲书门，畅贤明英杰情怀，翰墨飞椽挥盛世 雪辉卷帙，昭中外古今精粹，诗文追月照神州
感召时代，花发芳园，双百开新境 服务人民，联扬国粹，两为启凤章
夜罩黑锅盖 雪封白玉盘
琢玉应求知玉者 卖金还盼买金人
为有牺牲多壮志 每逢佳节倍思亲
保障后勤，胜算七分，重任非同小可 优先教育，高着一步，军人最顾大局
染指无心因弄墨 凝眸有意不酬春
春风惯酿桃花酒 秋水常烹莲子羹
帝德万世无极 臣家一经如初
良辰占尽无双福 新岁初开第一筵
宝墨绪鸢都，笔焕联林腾紫气 庆霄凌北海，神交世运著高流
浮名链接心头锁 美梦扫描枕畔依
楼合暮霭中，云曾宿此，月曾宿此；将深院敞开，以俟潮声携信至 景在行程外，奇又如何？秀又如何？把心猿束住，闲看苔色上衣来
高士秋心飞作蝶 美人春梦化为云
与时俱进春无限 继往开来福有余
过新年，沐春风，品书香书韵 闹上元，浴灯海，赏民俗民生
廊凭翠障龙凭雨 石伴青松鸟伴花
武帝下陈更有李 三郎内宠未言梅
图画山河春写意 诗言湖岳岁抒情
截竹为箫吹大有 挥汗如雨展宏图
细雨润青荷，荷自有意 清风拂绿叶，叶本无情
含泪含愁林黛玉 重情重义柳湘莲
金鸡报晓青山秀 紫燕凌空旭日升
献爱心岁岁出彩 奉真情年年纳福
山乡凝露、哨所飞霜，惹阵阵离思，皓月当空千里共 谷穗飘香、功章耀彩，祝家家团聚，赤情报国两心同
桥拱廊幽，领几番风月 河清海宴，引一片宫商
官仓严把守 民意细疏通
清照抒情，漫挥千万缕 悲鸿写意，斜去两三行
诗侣书朋共经纬 松风梅影对春秋
俯抱春风无浪迹 峻情山水自时流
杯勺饮成沧海主 衣衫敛作紫霞宾
金紫 银青
莫因物喜，不以己悲，做人宜养乾坤气 邀法为邻，遣德铺路，理事常思荣耻观
隆中对定三分策 网上联来九州春
乌蒙大地，山川含秀色 昭世通旷，文产谋鸿猷
盛世风光好，宁夏山川处处盈诗意 朔方面貌新，黄河儿女时时感党恩
著千家万户文章，以品牌润色 兴四海五洲事业，凭人本奠基
妙道山中多妙道 名堂峰上数名堂
勤俭人家开锦业 吉祥门第沐长春
素月辉凝旗影冻 清霜冷拂剑光寒
野花无主春关照 白帝危情备托孤
牛栏山下，牛气冲天，壮志争酬新岁月 潮白河边，潮声卷地，强音继响好时光
浪高只在篷舟下 路远始于跬步间
萝径因幽偏得趣 云峰含润独超群
借得梅骨三分傲 凭的丹心一片红
寡欲淡功名，天天无俗累 宽心看世界，处处有光明
姻缘巧合如鸿雪 官运亨通似履云
生态九龙，古色古香古韵，恭迎八方游客 精品商街，名店名牌名吃，招徕五洲嘉宾
三沙设市，中南海倾情南海 万物争春，大自然着意自然
远入青山何所见 了然尘事不相关
前路安无人识我 中秋幸有月当头
一望空山云是客 独临野水鹤为朋
几棹清波游兴足 三秋美景沁心酣
身陷高楼心在野 肩担落日脚随风
和谐河北春来早 富裕成安景不衰
追求天性，享受自然，度智水仁山，休闲喜得如斯乐 梳理心情，放飞志趣，寻梦踪幻境，小住何妨到此来
青壁云深苔覆字 乌江水静柳垂弦
天然福地，曾经火种刀耕，杜宇声中催播谷 生态坡仑，总有春华秋实，桃花源里可开田
四时佳气满 万里大鹏飞
绿柳随风戏飞燕 丹枫照眼醉流霞
新宅无旧燕 老舍品香茶
请前辈出招亮剑 看晚生攻擂争雄
雪落竹山三分矮 云飘梅苑万枝高
社会和谐家可乐 科学发展业生辉
淑气千重山水秀 春光万里画图新
一树蝉声惊午梦 半畦菊色醉秋心
救灾防地震 保险怕人亡
人民群众开心日 党政贪官被捕时
山色引龙蟠，凝眸间险秀雄奇，绿景千重容啸傲 云光随鹿隐，论胜处田园谷壑，晴峰八面赋逍遥
纸文具似案卷簿，须信主道方脱罪 胜笔版如生命册，敢问君名在其中
风动吹清露 鸟鸣唱紫晨
学文习武追星月 避雨遮风练气神
大象无形，大器晚成，耐人寻味，大智若愚，大巧若拙，发人深省 真言有爱，真情长在，催我洗心，真禾不莠，真金不锈，励我笃行
想必青山知我懒，花径风常扫 欣然绿水绕峰长，阳春雨爱浇
酒泉芳香眠龙凤 杜康甘醇醉神仙
鸥鸟为邻，惟大人亲也 溪花掩户，夫隐者居之
未老莫还乡，草席瓜棚犹在梦 当红休得意，才情学问务关心
诗经幼学成才路 周易精研冠士林
御苑观花添雅兴 农庄走马享闲情
不老青松映日月 常鸣白鹤颂乾坤
百福呈祥迎春节 国泰民安拓盛元
襟如海阔 寿比山高
天边可是家乡月 醉里依稀故国歌
荆山有玉犹在璞 琪木扶疏系辟邪
习武少林，不缺少少林典故 寺名多宝，有许多多宝如来
覆釜独立，群峰凝秀，云蒙雾漫 泻瀑生威，翠谷幽深，步入神游
一年好运随春至 八面威风任我行
花红千里路 酒醉一身轻
繁华过尽谁憔悴 沧海轮回我淡然
山林已启甘筚路 泽海犹击奋鹏程
游五峰书院，登五指岩，看五彩缤纷，五金都市欣崛起 超百亿规模，列百强榜，喜百花艳丽，百尺竿头再腾飞
曾走千山寻好水 不期一梦见月园
色宜波际绿 茶过卯时煎
千里烟波催客醉 一帘雨梦动乡愁
喜会亲朋同弄月 不攀富贵亦乘风
胜地风光好，有碧树红花，一潭净月 赏心乐事多，品林涛天籁，几曲清歌
切磋厨艺烹菰乐 蹀踱庭吟煮豆诗
吾家院小常留月 隔壁堂深不拒云
瘦柳披银幽月梦 寒泉溅玉翠山魂
天遣 水流
研梅调雪书春梦 练字撰联度晚年
东山再起，妈妈选手辉煌续 妹子重新，块块金牌困苦来
政廉民拥 官腐国忧
笑接春风登绿岛 心随明月照清流
临渊若羡鱼 退岸应结网
身世青萍难断水 生涯白首不归舟
夜月丹砂句漏火 秋风黄叶秣陵船
烟锁池塘柳 烽梳镇地沙
方寸间，历数世上桑田沧海 弹指瞬，饱览人尘喜怒哀愁
联苑新花生汶水 中都雅韵出儒门
红叶题诗流水韵 蓝田种玉放风花
饥鸡盗稻童筒打 闲贤读椟客阁住
日耀金戈，马踏飞鹰，挥师扫北平边患 国尊儒学，谊通西域，革弊推恩统汉天
狼毫写意，牧笛吹梅，次第无边春色 汉墨抒情，箫风落雪，参差有度月光
禹鼎灿云霞，泱泱者德 汤盘辉日月，郁郁乎文
扫浮糜，树新风，耀日波澜千载颂 担构毁，扬正气，照天蜡烛万民讴
对联擂 龙凤胎
穿雨衔云，欣为苗圃织春燕 弓身俯首，长做杏坛给力牛
琼楼月皓人如玉 绣阁花香酒似兰
隔窗懒问尘俗事 对案喜吟山水诗
龙树传衣，马鸣授钵 鱼山听梵，鹿苑参禅
保卫子夫当九难 开张学友得三思
有地水空绿 无机舟亦闲
看庭院春临，闻荧屏贺语 品阁亭茶洌，览柔草俏姿
小资情调莫离谱 大腕言谈休唬人
龙媒落地天池远 石路无尘竹径开
光耀九天能夺月 辉煌一室胜悬珠
一台音乐指挥棒 万世流芳王宝强
蒙昧以开，师燃万古光明烛 温馨所感，子报三春和煦晖
酒狂诗见性 文雅韵如歌
虽曰人渐老 犹爱物皆春
智慧照，十方庄严诸法界 大慈念，一切无碍如虚空
丹心书日月 热血转乾坤
花红岭上霞来贺 草绿溪头水正欢
几缕兰香萦素袖 一轮明月到西窗
奎躔炳瑞开思致 职事摅诚缦景云
良辰鸡叫早 美景月流光
水阔鱼肥多钓客 海枯石烂少情人
马步壮行强盛路 羊毫喜绘复兴图
红梅红杏扮春色 紫蔓紫荆添夏妆
疏懒宜时，文章白眼 清凉坐快，何日少年
醉卧花间，一夜风流空忆梦 娇嗔月下，昔时情态枉添愁
金屋美女在书中，骚人乱找 绿野羌笛出塞外，胡马催生
天开文运 人喜春阳
墨海仙乡耕画地 书山净土种诗苗
延庆金婚，五十年来同广宇 棣成玉树，千秋露沐共升平
把酒吟诗邀月下 临风弹曲逐云飞
孟春灯灿家家市 元夜花香处处楼
百叠青山路 两乡明月心
比南阳风景如何？坐看簪山排八卦 慨此地烟云无恙，挹来芳草共千秋
水平不以文凭论 身手还需实践生
俯首做公仆，心系民生，情牵国运 带头兴骏业，策施南北，福送城乡
下笔情思涌 举杯心志飞
情怀总向东溟，海峡一鸥是我心，欲飞彼岸 春日频来好梦，丹青五彩有君色，同绘神州
如歌岁月沧桑调 若梦人生雨露情
大中华，百年国耻，民族仇恨，奇冤血案人间少有 新世纪，一代天骄，气宇轩昂，伟略宏图海内无敌
春晨喜汲金银水 元夜欣观锦绣灯
宝马奋蹄，一路留华采 吉羊开泰，九重响乐章
手持云篆题新榜 日照尧阶舞瑞鸾
腊梅风骨平凡我 秋竹傲心伟大君
心怡泉润笔 意远水铺笺
梦乡常到天山客 幻境时逢碧海仙
嘉木千秋，汲来岭上百般粹 仙芽独秀，撷取人间一段香
双清月冷，六岭风寒，资江邵水含悲，殉职英年天地憾 劫难无情，黄塘遗恨，父母娇妻心碎，哭干泪眼古今愁
自愧不才，此后议为难遽解 敢忘懿德，于今家政复谁操
洗笔等落雪 铺笺邀飞花
幽兰涧底难为赏 老柳江边不中看
人间蓬菜岛 堂上白鹤翁
栏外远山排闼绕 楼前积水当湖看
凌波仙子化蝶舞 逐浪欢歌引凤来
物外无知己 庭前试舞衣
大笑出门，从此甘当山水仆 将愁研墨，如今也做画图人
欲从物外求知己 不给对方可乘机
老街古巷红衣女 马褂长袍白面君
几片薄云堆远岫 一弦淡月坐黄昏
美人风韵 王者幽香
襟中自有千风度 阁下岂无二月花
花开到半香才好 情若如初恨不逢
骨气，胆气，豪气，气宇轩昂，一身正气 文才，武才，雄才，才华横溢，千载奇才
游珊瑚岛，岛岛金枝玉叶 住翡翠庭，庭庭火树银花
海韵楼里海邮会 军祐营中军友情
秦砖汉瓦何足论？且有铭文宝鼎 铜马金炉可称珍，更藏无价丹青
永抱初心，心上三春从政出 长追好梦，梦中百福向民来
绿水青山，城连乡接 和风谐雨，天咏地吟
月抱相思卧 酒香老白干
春风书彩卷 清水出芙蓉
千秋岁月一场梦 四海风云几段情
六两七钱八分金，二紫九赤 一机三梭十疋布，四尺五长
善书巧对人不倦 妙语好联字都奇
古道长亭丛柳外 江天彼岸一苇中
听流水心如秋月 立晚风我是莲花
山蛤 海蝛
松醪能醉客 柳意不胜春
出入既天命 零终各永通
刀枪入库 马放南山
千峰笋石千株玉 一棹春风一叶舟
多傍松风梳绿发 偶看仙女上青天
恭迎三江客 服务四海宾
千年古镇，留下悠悠神韵 一片新城，增添款款风情
四面水声，六桥烟柳三千客 满楼天色，万顷风荷第一城
迷者不知对错 贪官哪管少多
兴义兴仁，夜郎铜鼓虎添翼 盘江盘水，中国金州龙领头
幽兰雅草流芳岛 曲径香桥遗爱湖
雪映花妖艳 风催雨暴急
季鸟念原岭 池鱼思故渊
石室夜灯禅影瘦 松堂虚壑讲声圆
埋骨青峰，不枉此生碌碌 流芳绿野，莫让斯世空空
大肚宽肠，这和尚好生自在 薄情寡义，那鸟人不必可怜
佳人貌美求浪漫 君子才高爱风流
故里梅花香未断 老来月影冷犹添
地蕴淳风，因郑兴奉母，健虎报恩，孝义至今为楷范 天循厚德，看事善亲民，行仁敬老，和谐自古肇繁华
摘满星光镶远梦 吟来月色寄幽情
一夜连两年，年年兴旺年年富 五更分双岁，岁岁平安岁岁福
重摇雅韵驼铃，顶雪冒霜，喜迎丝路三春暖 拓展黄金水道，乘风破浪，不负长江万古流
催长诗芽频舞墨 推敲小字总飞镖
至人所临，万类咸若 贤者之大，九流会同
三阳日照新居屋 五福星临发家门
山深围作国 树老化为人
狗日侵华罪大大 牛津比美味长长
切磋厨艺烹菰乐 掬采泉寒煮茗闲
多云灌木丛林密 曲径樵歌韵味浓
闲步芳尘寻雅韵，花明柳暗 轻舟书海觅情趣，心静气宁
兴云致雨谁称道 弄月吟风我唤春
花开墨卷香盈袖 酒入愁肠泪满襟
如来解脱不思议 菩萨修行难了知
源承支父 望出琅琊
人生难得三分醉 世事莫求两眼明
枫火欲燃山浅笑 秋光乍现镜博撷
心静包容天下事 意真理解岁月情
千里青云，卷舒尘世外 一条石径，出入画屏中
卷帘风月一窗水 满目烟花遍地春
删繁就简春秋笔 务实求真道德经
白水为泉民饮用 丘山作岳我登攀
春临塞北花添韵 瑞绕重门人增福
黛色苍茫众山小 天容惨淡大星沉
国颁善政英才众 节到新春喜气多
梅将春信栓枝上 月与秋云到渡边
禅风久蕴，法雨遍施，频参妙理弘三界 圣泽长流，佛光普照，广化因缘渡众生
和尚撞钟尽本份 教师陪酒丧尊严
百步长廊，千古文章苏子气 九天明月，一朝始祖汉家风
艾秀蒲青，以濯闺帏，生辰恰近端阳节 雨摧日曝，诚为洗礼，时令不欺五月花
真爱微尘里 至仁凡事中
曾记否？群专耀武扬威祸 见怪吗？特意揽功推过人
荷伞撑湖色 柳帘掩月光
欲借诗联发感慨 常托曲调诉衷情
信口开河多水句 赤心报国壮华图
笑傲江湖事 昭然侠客情
舟中把酒，寄慨感怀邀月饮 台上临风，纵情骋目放云飞
四世儿孙齐抢椠 百年大雅独扶轮
离开太远，竟忘因何出发 爬得很高，不知怎样下来
伴幽月 离恨天
红滴砚池花泻露 绿藏书榻树团云
明自电源通一线 山将泉水送千家
博学渊渊，硕德谦谦，曾是九州饮誉 大名鼎鼎，小心翼翼，定能万古流芳
潮涌江门春赴约 花芳岭表梦开屏
寻梅踏雪骑驴客 击鼓猜灯射虎人
笔端通造化 意表出云霞
聊于心内求平畅 莫去人前说是非
绿色幽情寄 清溪雅韵吟
西窗过雨愁烛短 暮笛随风叹夜长
玉鼠还宫，金牛接福，蓝湾涨绿，珠城百里，海啸霆奔风满袖 银滩焕彩，宝地生辉，昌旭迎春，锦苑千家，欢歌笑语喜盈门
乱流四下，疾于夫不 古石群立，作其之而
宦官寄宿穷家，寒窗寂寞 冢宰安宁富宅，宇宙宽宏
天赐良机前程锦 事业腾飞永顺心
情怀立作一棵树 风骨磨成万仞峰
风怀飞絮影 水忆落花痕
文明催绿中华梦 诚信修通幸福桥
全会改革吹号角 小康硕果惠黎民
青鸟衔花天外寂 黄梅消息杖头通
鼓乐齐鸣歌善政 山河共舞颂清风
定慧圆融，心同法界 事理无碍，道契真如
幽居在空谷 努力爱春华
秀壑奇峰，明灭云霞，一幅仙图开梓版 大家高手，精深学识，百般神采待枫秋
千秋古月山推出 万里轻云水摆平
倩影流香馨一脉 柔情带雨醉千秋
千载此重来，谁同为放鹤人？莫谓风华随处士 一生须大笑，我亦是惜花者，偶从姓字想孤山
将星闪耀战功赫 旗帜鲜明主义真
祥瑞素裹，韩原万象辉耀 芳翠孕屏，黄水大地欢颜
山色怡人花色美 湖光养眼月光柔
狂生佯诳逛书店，买狂人日记 林老挨淋临大街，看林家铺子
瓜田月下蛙声闹 椰岛风前蝶舞香
春秋满鬓沧桑色 岁月一怀落魄声
画里山川，竹杖芒鞋三昧证 梦中世界，袈裟莲座万缘空
致富终须罗科技 腾飞还得读良书
读书耕地，舍去身名君莫问 吟赋作诗，得来乐趣你不知
水摇千古月 舟载一江秋
擎五环旗，行万里路，梦想交通同构建 载八方客，游三津地，人文奥运共观瞻
拿铜罐，煨鸡心，馋滴猫儿涎 提金剑，斩龙脑，惊飞虾子魂
一毛不拔 有口皆碑
碧叶田田，菡萏初开尘色少 蜻蜓款款，诗文已赋爱情深
天做棋盘星做子，谁人敢下 雷为玉柱雨为绳，何者能攀
高举义旗，顷刻造成新世界 共反满政，片时扭转旧乾坤
淑女原安贫，负薪浣褥 贤臣陈致富，贵粟重农
顺应民心兴产业 发扬厚德旺商行
致富家庭，人人争致富 和谐社会，处处讲和谐
弘扬美德，孝亲敬老成时尚 广布仁风，乐善好施掀热潮
倚势阅湖光，不辞终老台山，伴书饱读星云胜 流风翻案牍，莫恨未谙古句，侧耳时闻鸥鹭吟
大道无私真福德 悲心救苦降祯祥
幼儿无邪，宜使身心得教化 环境有律，且从天地作文章
喜新春莺歌燕舞 庆佳节鸟语花香
无根几阵雨 七叶一枝花
浪荡也属添乱 空调不保治安
自作多情，情到多处翻成笑 谁堪孤寂？寂寥孤夜梦也空
草木经秋难弈雪 风云送雨不惊雷
羊毫绘七载筑梦，黎庶情切切，浑金璞玉，描锦绣湖滨美画图 灵猴迎八方鼎助，大圣舞翩翩，急管繁弦，奏二期工程主旋律
生态和谐，栖木黄鹂鸣好曲 祥云萦绕，逢春古树发新枝
秋来韵律疏篱外 灵在浓香冷艳中
龙日莺歌催燕舞 蛇春鸟语促花香
鸟爪长伸挠项羽 灯笼挂洞照孔明
自吟诗送老 相劝酒开颜
早知寸禄荣家晚 争柰贫儒得路难
贺岁廿联，语祝吉祥情切切 迎春百合，花开富贵喜连连
驾一叶扁舟，凌波而去逍遥隐 携两本书籍，乞讨醉酒对月唱
热心爱神寒舍暖 真诚感恩苦境甜
偃师歇马思班固 君子骑牛读汉书
莫恋手机，阅读多多多悦读 大开眼界，抒情满满满舒情
陟降遥通，魂魄常依华屋 春秋展祭，馨香宜彻幽泉
税弘大业，财促小康，神农架上云霞灿 心系千行，情融百姓，扬子江中鱼水亲
春月不知人事改 门风常有蕙兰馨
诗思如潮何敏锐 传情似蜜更芳芬
大泽龙伏藏远志 莽原蛇蜕蕴生机
清官不做发财梦 污吏常怀受贿心
漫品新芽，窗前挹翠听春雨 高歌盛世，门上贴红颂政风
花树呈祥彰五福 城乡焕彩接三春
窗外青山杯底落 楼头明月梦中圆
蔗海泛波涛，喜看鹿糖甜桂域 蚕坊喧笑语，欣闻壮锦丽中华
莲花荷叶藕 溪流波浪潮
革命英雄，光影浓缩昔岁月 风云儿女，镜头印证好生活
满卷珠帘花落砚 一窗梅韵笔生香
辰去巳来歌美景 龙飞蛇舞唱和谐
鸳鸯瓦冷，翡翠衾寒，芙蓉帐暖春宵梦 燕羡环肥，霜侵玉瘦，鼙鼓声惊桂殿秋
有志青松不老 无忧翠柏常鲜
水依山，园依山，长城绿抱春风里 景入画，人入画，延庆红飞花海中
一片清风昭日月 千秋正气荡乾坤
程门立雪尊师道 路面结冰阻校车
藕香榭畔幽，秦楼月光美 芦台春意暖，汉宫秋色浓
古渡闲舟留往事 鲜花美酒贺新人
紫燕唱春梢，春浓华夏 黄河流笔底，笔走龙蛇
访查干、寻塔虎，游辽金故地 观赛马、看摔跤，赏满蒙风情
醉我情浓软字 添杯味浅愁肠
梅园观雪，敢问雪为谁落 赤壁沉沙，轻弹沙回戟埋
大鹏筑梦花千树 盛世飞歌福万年
公公问：哪里在放炮 婆婆笑：他们要过年
温壶老酒邀诗客 折只竹筇作散仙
为文期于用世 作事诚以与人
天公不作美，梁祝为据 学子欲成材，孔孟如师
手段秉实虚其法，若同道而论，惟面壁达摩，登城诸葛 头衔令营逐者昏，洵有形皆坏，恰使君如也，一炬付之
忘死舍生，用生命践行使命 爱民拥政，让政风化作春风
寒窗幸有知心月 挥笔恰随惬意风
对月凭栏舒望眼 临风把酒涤烦襟
神交唯对水 笔会重留言
白发戴花君莫笑 红颜知己你当珍
明月如霜惊客梦 骄阳似火惹烦心
踩珠峰众山皆小 揽云海古月独明
嫦娥奔月舒广袖 雅馨临麦展笑容
家国身心，修其在我 功名富贵，定之自天
喜雨催花春作秀 熏风润色陌飘香
墨酣笔饱波澜起 云淡星稀月色幽
绿蚁杯中物 墨鸦河里鹰
六经刊石储东观 三传移书护太常
刘邦兴汉昌天下 关羽释曹誉世间
十年疾风知劲草 一间斗室选能人
管道通时，信诚铸似根生就 阀门开处，情意长如水涌来
精工酿制，回味悠长，古泉神水一方出 充分窖藏，醇香浓郁，好运仙风八面来
荷裙兜月色 桂酒醉秋风
别墅三清客 自称半墨翁
芳草连心，犹记一楼黄鹤影 烟波洗耳，更聆千载白云声
燕盼阳春回大地 鸡鸣晓旦唤生活
星明星暗反复现 对去对来循环出
傲骨高撑，当为家国梁间柱 微尘不染，岂作利名膝下奴
字水碧波腾碧浪 涂山红叶映红岩
槛外月明临玉宇 枕边湖响忆钱塘
梨花满院增春色 晓月一轮卸晚装
燕飞靓影驱冬去 花舞轻姿诱蝶来
粤人难见梅敲雪 北士可观岭赛船
八斗高才研旧墨 三围美女舞春风
盛会精神随福到 鲜花锣鼓请春来
打火 沾光
景如千首诗，诗化千重景，妙景天然供画稿 山像一尊佛，佛为一座山，青山自在绕云烟
山蟠苗岭 水绕乌江
线缆经济惠民生，富裕司马 楹联普及添雅韵，繁荣故乡
富兮创富，传经致富富愈富 亲亦求亲，睦族恳亲亲益亲
鹰翔折翼云天落 鸡唱朗星籁野回
红旗猎猎，争当新长征突击手 绿水悠悠，缅怀老一辈革命家
三馆人才皆后辈 六官领袖属先生
俚曲高台，檀板敲残星月夜 火塘舞会，欢歌驱散古今愁
残阳一笛花村入 碧山千江燕子归
水流谐音，蔗海欢歌永日 人享康泰，乡村喜庆长春
春风吹绿门前树 红灯映亮窗上花
朝云携雾水色朦，柳絮生烟高塔隐 春风带雨山光美，莲荷摇露闲亭香
笛绕红霞，曲水荷塘牛饮日 鞭扬绿野，碧空草地马腾云
胸有沉雄气，寥廓苍茫，新诗每泣神和鬼 心怀社稷忧，飘摇辗转，老鬓难忘国与家
扫叶属平常，竹帚横秋天下净 清楼当自在，诗心向月此间凉
情怀烟水寄 风雪灞桥行
且观联海升帆起 正有新舟破浪来
四中全会引方向 万众一心奔小康
云游水面湖增色 鹤落崖畔山添彩
兜彩丸，掷流星，一霎风云来脚底 跨神骏，挥偃月，千年雷电入图中
詹尹卜 上官谗
做想是非名利，荣辱沉浮，不过寻常世态 笑看古往今来，喜悲生死，最终一具皮囊
诵琼楼风雨之时，南国早知公有子 承便殿共和明问，北宋未以我为臣
流年终负我 白发不饶人
骨气乃有老松格 声名须与古人期
为儒不解从戎事 把笔偶题归燕诗
三径就荒，五柳长青，松竹犹存，悠然采菊东篱下 一江怀古，千戈已没，英雄不在，旷达题诗赤壁前
迎丙申，猴岁添新禧，更上层楼 辞乙未，羊年发猪财，春暖花开
只知平仄休争对 未晓音声也沦诗
与子共饱鲸鱼脍 劝我试作石鼓歌
海地流行橄榄绿 山西盛产竹叶青
也是凡人，千载犹传三不朽 若非佛圣，一身焉领两提婆
蛤蟆水上真书出 蚯蚓泥中草写之
客中恍过曾游境 案上空堆不寄书
奉公为民写人生，造美好乡梓 廉洁从政绘蓝图，创和谐家园
千古风流，黄州城外青山叠 十分雅致，函谷关前紫气腾
盛德庙群施教泽 龙光禹殿壮人文
何避深秋雁阵？逆旅成行，骑驴问字长安道 高怀硬瘦诗风，归期可搁，拄杖敲松晴雪岩
心里有鬼欲伸手 眼前无路想回头
诙谐幽默语出惊四座 浪荡逍遥行入吓三陪
村女采菱惊白鹭 渔翁垂钩戏红莲
虽无华扁回生术 但有歧黄济世心
海纳百川，有容乃大 心存一佛，无欲自安
唤醒春风书绿意 招来细雨润红尘
题梅早兆光前哲 调鼎随征裕后昆
松雪神仙，算周六秩 梅花时节，颂晋九如
仗先生振擘一呼，率虎士三千，碧血黄花襄大业 期后世擎旗再展，继鹏程百万，丹心赤胆鼎中华
三羊开泰 六合同春
龙腾马跃，锦绣武陵催国梦 景美人和，文明春雨润湘江
滨海矗新城，已展鸿猷，再开骏路 临风挥巨笔，不添蛇足，只点龙睛
吐气扬眉，十年托起正山梦 登堂入室，一盏沏来中国红
沧桑入酒百般味 岁月留痕两鬓秋
夜警千年鹤 时传九日神
割断名缰修到福 打开利锁免临灾
实施三百工程，且喜登天有路 培训几多技术，何愁致富无门
寒夜客来，酒煮乡音频叙旧 清晨邮递，手缝母爱最担情
理琴开宝匣 抱瑟坐花裀
浩气惊天地 英名贯古今
每见酒盅常病态 多读经典总健康
修禅但悟观空有 读史宜能辨是非
寒梅失色诗风瘦 红叶有情秋水长
风流竹苑鸣金曲 墨舞蓝亭醉华章
非去非来空自在 不生不灭是真如
拂水柳丝撩碎月 依风荷叶挡薄天
弹掷沮漳渡口，民生涂炭悲涌泪 火燃谢古麦田，庄稼遭劫叹无收
晓曲悠悠，洁白乒乓园美梦 霞光灿灿，鲜红旗帜耀神州
万里长江流水线 一勾新月顺风船
兰亭墨已干，问何日复兴、谁人再至 柳岸春方暮，对一溪澄澈、万径缤纷
拈花一笑佛知道 因果循环老解释
汗史有衡凭毁誉 江山无滞任东西
九州骏马驰千里 八桂阳春暖万家
翠竹黄花皆佛性 鸾歌凤吹动祥云
湘楚焕灵光，福聚名城民聚福 人寰承厚泽，时逢盛世阁逢时
灼艾分痛 大被同眠
劲竹可师，有事时坚持操守 幽兰为范，无人处不改芳香
跪乳羔羊、反哺乌鸦，无识人伦乎？胜似人伦矣 亲尝汤药、惊逃猛虎，深知孝道也，大扬孝道哉
看师生互敬互帮：江河献墨，天地铺宣，大写和谐万载 为校际相携相助：日月填词，风云作曲，高歌教育一家
冰天雪地，雪打寒梅，冰结冻枝，梅寒枝冻藏春意 燕舞莺歌，莺穿曼柳，燕裁轻絮，柳曼絮轻飘惠风
翠竹山在山竹翠 奇峰石景石峰奇
清风流竹韵 春雨沁花魂
爱奉家国，圆其梦想 德泽景物，壮我京师
一水初生，春流抱竹 群阴尽化，朗日当天
波皱龙鳞三面合 洲萦燕尾两头分
清湖分得半山翠 细雨洇开万树红
剑光浸酒挑明月 掬韵凝诗待柳风
诗从月下梅边借 梦向山南菊里求
舴艋舟难载许多愁，更何堪西倚楼、东流水 梧桐雨能言几度梦？是以有初三月、第一泉
风生冰上舞 月落水中漂
昂首挺胸中国范 卑躬屈膝小东洋
平分秋色山和水 独具风流画与诗
新新新人类，新意迭出，奇形怪状 旧旧旧文章，旧联求对，俗草凡花
教无定法崇新意 听说钱财得学分
清真寺清真，是清真士 寻教任寻教，仍寻教人
掣电临风尺丈山川，不惑英名存岱岳 呕心设计星罗站所，一书杰作在乾坤
宝鸡高唱，大道生辉风雅颂 盛世欢腾，小康焕彩福寿祥
华夏吉羊，镜天花雨 暨阳乐土，诗水画山
金鹏展翅江湖远 木偶涂漆岁月悠
道左相逢泯旧怨 途中偶遇成新欢
束蒿夜读常温故 结茆躬耕不事君
弹丸相见兵戎，非人质也，乃民族自危也 时月难消芥蒂，是国悲乎，夫宗教之祸乎
大治春光随日丽 小康胜景逐时新
有种男人可敬 无颜女子难调
生也沙丘，死也沙丘，一腔热血化春雨 忧于兰考，乐于兰考，两袖清风换口碑
